filename,class,source,source_index,generator,width,height
backbone_0.jpg,fake,hf:ComplexDataLab/OpenFake,0,sd-3.5,1024,768
backbone_1.jpg,fake,hf:ComplexDataLab/OpenFake,1,dalle-3,1024,1024
backbone_2.jpg,fake,hf:ComplexDataLab/OpenFake,2,sd-2.1,512,384
backbone_3.jpg,real,hf:ComplexDataLab/OpenFake,3,laion,1000,1500
backbone_4.jpg,real,hf:ComplexDataLab/OpenFake,4,pexels,1599,1066
backbone_5.jpg,real,hf:ComplexDataLab/OpenFake,5,laion,500,600
backbone_7.jpg,fake,hf:ComplexDataLab/OpenFake,7,sd-1.5,768,1024
backbone_8.jpg,fake,hf:ComplexDataLab/OpenFake,8,sd-2.1,1168,880
backbone_9.jpg,fake,hf:ComplexDataLab/OpenFake,9,midjourney-6,1024,1024
backbone_10.jpg,real,hf:ComplexDataLab/OpenFake,10,laion,487,730
backbone_11.jpg,fake,hf:ComplexDataLab/OpenFake,11,gpt-image-1,1024,1024
backbone_12.jpg,real,hf:ComplexDataLab/OpenFake,12,pexels,1600,1066
backbone_13.jpg,fake,hf:ComplexDataLab/OpenFake,13,flux.1-dev,1024,1024
backbone_14.jpg,fake,hf:ComplexDataLab/OpenFake,14,animagine-xl-3.1,1024,1024
backbone_16.jpg,fake,hf:ComplexDataLab/OpenFake,16,sdxl-touchofrealism,1024,512
backbone_17.jpg,real,hf:ComplexDataLab/OpenFake,17,laion,800,1024
backbone_18.jpg,real,hf:ComplexDataLab/OpenFake,18,laion,960,720
backbone_19.jpg,real,hf:ComplexDataLab/OpenFake,19,laion,736,556
backbone_21.jpg,fake,hf:ComplexDataLab/OpenFake,21,sdxl-realvis-v5,768,1152
backbone_22.jpg,fake,hf:ComplexDataLab/OpenFake,22,sd-3.5,1024,1024
backbone_24.jpg,real,hf:ComplexDataLab/OpenFake,24,pexels,900,1600
backbone_25.jpg,real,hf:ComplexDataLab/OpenFake,25,pexels,1066,1600
backbone_26.jpg,fake,hf:ComplexDataLab/OpenFake,26,sd-3.5,768,1024
backbone_27.jpg,real,hf:ComplexDataLab/OpenFake,27,pexels,1066,1600
backbone_28.jpg,real,hf:ComplexDataLab/OpenFake,28,laion,455,600
backbone_30.jpg,real,hf:ComplexDataLab/OpenFake,30,pexels,1200,1600
backbone_31.jpg,real,hf:ComplexDataLab/OpenFake,31,pexels,1066,1600
backbone_32.jpg,real,hf:ComplexDataLab/OpenFake,32,laion,750,501
backbone_33.jpg,fake,hf:ComplexDataLab/OpenFake,33,flux.1-dev,768,1152
backbone_34.jpg,real,hf:ComplexDataLab/OpenFake,34,pexels,1600,1066
backbone_35.jpg,fake,hf:ComplexDataLab/OpenFake,35,sd-turbo,512,512
backbone_36.jpg,real,hf:ComplexDataLab/OpenFake,36,laion,960,720
backbone_37.jpg,real,hf:ComplexDataLab/OpenFake,37,laion,750,750
backbone_38.jpg,fake,hf:ComplexDataLab/OpenFake,38,sd-3.5,768,1152
backbone_39.jpg,real,hf:ComplexDataLab/OpenFake,39,laion,1600,1175
backbone_40.jpg,real,hf:ComplexDataLab/OpenFake,40,pexels,884,1600
backbone_41.jpg,fake,hf:ComplexDataLab/OpenFake,41,ideogram-3.0,1408,704
backbone_42.jpg,real,hf:ComplexDataLab/OpenFake,42,pexels,1066,1600
backbone_43.jpg,real,hf:ComplexDataLab/OpenFake,43,pexels,1600,1067
backbone_44.jpg,fake,hf:ComplexDataLab/OpenFake,44,sd-1.5,1248,832
backbone_45.jpg,real,hf:ComplexDataLab/OpenFake,45,pexels,1066,1599
backbone_46.jpg,fake,hf:ComplexDataLab/OpenFake,46,stable-diffusion-xl-base-1.0,1024,1024
backbone_47.jpg,real,hf:ComplexDataLab/OpenFake,47,pexels,1066,1600
backbone_48.jpg,real,hf:ComplexDataLab/OpenFake,48,laion,1600,898
backbone_49.jpg,fake,hf:ComplexDataLab/OpenFake,49,flux-amateursnapshotphotos,768,1152
backbone_50.jpg,fake,hf:ComplexDataLab/OpenFake,50,flux.1-dev,768,1152
backbone_51.jpg,real,hf:ComplexDataLab/OpenFake,51,pexels,1066,1600
backbone_52.jpg,fake,hf:ComplexDataLab/OpenFake,52,grok-2-image-1212,1024,768
backbone_53.jpg,fake,hf:ComplexDataLab/OpenFake,53,flux.1-schnell,1024,1024
backbone_54.jpg,fake,hf:ComplexDataLab/OpenFake,54,flux.1-dev,1024,512
backbone_55.jpg,real,hf:ComplexDataLab/OpenFake,55,pexels,1600,1066
backbone_56.jpg,real,hf:ComplexDataLab/OpenFake,56,pexels,1066,1600
backbone_57.jpg,fake,hf:ComplexDataLab/OpenFake,57,sdxl-epic-realism,1024,1024
backbone_58.jpg,fake,hf:ComplexDataLab/OpenFake,58,ideogram-3.0,704,1408
backbone_59.jpg,real,hf:ComplexDataLab/OpenFake,59,pexels,1600,1070
backbone_60.jpg,fake,hf:ComplexDataLab/OpenFake,60,grok-2-image-1212,1024,768
backbone_61.jpg,fake,hf:ComplexDataLab/OpenFake,61,sd-3.5,768,1152
