filename,source,source_title,source_url,license,license_url,artist,credit,category,width,height
wikimedia_bb8a21895d3c.jpg,wikimedia_commons,File:1931 10 24 Vakit Pegnam.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/1931_10_24_Vakit_Pegnam.jpg,public domain,,"Cumhuriyet, Son Posta ve Vakit Gazetesi",İstanbul Üniversitesi,Category:Football players,436,687
wikimedia_26cd82f2a625.jpg,wikimedia_commons,File:1932 04 30 Aksam Refik Osman Top.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/1932_04_30_Aksam_Refik_Osman_Top.jpg,public domain,,Akşam Gazetesi,İstanbul Üniversitesi,Category:Football players,345,554
wikimedia_2c05227e6998.jpg,wikimedia_commons,File:1932 05 12 Aksam Bedri Gursoy.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/1932_05_12_Aksam_Bedri_Gursoy.jpg,public domain,,"Akşam, Cumhuriyet ve Son Posta gazeteleri",İstanbul Üniversitesi,Category:Football players,524,710
wikimedia_8b1ce03e7ec5.jpg,wikimedia_commons,File:A footballer close to wall.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/A_footballer_close_to_wall.jpg,cc0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""//commons.wikimedia.org/w/index.php?title=User:SashaMirzoyan&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:SashaMirzoyan (page does not exist)"">SashaMirzoyan</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",Category:Football players,1080,1920
wikimedia_d358b361feda.png,wikimedia_commons,File:Alan Curtis.png,https://upload.wikimedia.org/wikipedia/commons/2/23/Alan_Curtis.png,cc0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Cazza3012&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Cazza3012 (page does not exist)"">Cazza3012</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",Category:Football players,858,838
wikimedia_490bc4046158.jpg,wikimedia_commons,File:Alfredo Paolinetti figurita - restaurada.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Alfredo_Paolinetti_figurita_-_restaurada.jpg,public domain,,"Unknown author<span style=""display: none;"">Unknown author</span>","<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20170109110135/http://www.figuritasdefutbol.com.ar/coleccion-chocolatines-aguila-1932/"">Here</a>",Category:Football players,422,580
wikimedia_0fe11ba77452.jpg,wikimedia_commons,File:All-American Jersey Presentation - Navy Honors Ryan Miret at Miami Southridge - 251010-N-RF885-1097.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/All-American_Jersey_Presentation_-_Navy_Honors_Ryan_Miret_at_Miami_Southridge_-_251010-N-RF885-1097.jpg,public domain,,Mass Communication Specialist 1st Class Natalia Murillo,"<a rel=""nofollow"" class=""external free"" href=""https://www.dvidshub.net/image/9359524/all-american-jersey-presentation-navy-honors-ryan-miret-miami-southridge"">https://www.dvidshub.net/image/9359524/all-american-jersey-presentation-navy-honors-ryan-miret-miami-southridge</a>",Category:Football players,2000,1332
wikimedia_b1e65dcc9f8d.jpg,wikimedia_commons,File:Amir Al-Ammari Cracovia.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Amir_Al-Ammari_Cracovia.jpg,cc0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Koficzek&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Koficzek (page does not exist)"">Koficzek</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",Category:Football players,1513,2698
wikimedia_e8fd887f3e93.jpg,wikimedia_commons,File:A Basketball Player (27375043834).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/A_Basketball_Player_%2827375043834%29.jpg,public domain,,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/60668654@N00"">The Vintage Traveler</a>","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/60668654@N00/27375043834/"">A Basketball Player</a>",Category:Basketball players,721,1232
wikimedia_570bb9700d74.jpg,wikimedia_commons,File:A Touch More Live April 6 2024.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/A_Touch_More_Live_April_6_2024.jpg,cc0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Cbogsin&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Cbogsin (page does not exist)"">Cbogsin</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",Category:Basketball players,879,659
